"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10n","C_0402_1005Metric",48.275,-47.05,-90,"top"
"C2","10n","C_0402_1005Metric",46.95,-45.45,180,"top"
"C3","10n","C_0402_1005Metric",45.3,-39.75,180,"top"
"C4","10n","C_0402_1005Metric",49.7,-39.75,0,"top"
"C5","10n","C_0402_1005Metric",45.3,-34.25,180,"top"
"C6","10n","C_0402_1005Metric",49.7,-34.25,0,"top"
"D1","LED","LED_0402_1005Metric",40.25,-66.021469,150,"top"
"D2","LED","LED_0402_1005Metric",33.97853,-59.25,120,"top"
"D3","LED","LED_0402_1005Metric",31.5,-50,90,"top"
"D4","LED","LED_0402_1005Metric",33.97853,-40.75,60,"top"
"D5","LED","LED_0402_1005Metric",40.75,-33.97853,30,"top"
"D6","LED","LED_0402_1005Metric",59.25,-33.97853,-30,"top"
"D7","LED","LED_0402_1005Metric",66.021469,-40.75,-60,"top"
"D8","LED","LED_0402_1005Metric",68.5,-50,-90,"top"
"D9","LED","LED_0402_1005Metric",66.021469,-59.25,-120,"top"
"D10","LED","LED_0402_1005Metric",59.75,-66.021469,-150,"top"
"R1","47R","R_0402_1005Metric",40.725,-65.198745,150,"top"
"R2","47R","R_0402_1005Metric",34.801254,-58.775,120,"top"
"R3","47R","R_0402_1005Metric",32.45,-50,90,"top"
"R4","47R","R_0402_1005Metric",34.801254,-41.225,60,"top"
"R5","47R","R_0402_1005Metric",41.225,-34.801254,30,"top"
"R6","47R","R_0402_1005Metric",58.775,-34.801254,-30,"top"
"R7","47R","R_0402_1005Metric",65.198745,-41.225,-60,"top"
"R8","47R","R_0402_1005Metric",67.55,-50,-90,"top"
"R9","47R","R_0402_1005Metric",65.198745,-58.775,-120,"top"
"R10","47R","R_0402_1005Metric",59.275,-65.198745,-150,"top"
"U1","WCH CH32V003F4U6","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",50,-44,0,"top"
