Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",47.150000,-98.050000,90.000000,top
"D1","LED","LED_0402_1005Metric",38.500000,-119.918584,-30.000000,top
"D2","LED","LED_0402_1005Metric",32.380977,-114.784115,-50.000000,top
"D3","LED","LED_0402_1005Metric",28.387069,-107.866463,-70.000000,top
"D4","LED","LED_0402_1005Metric",27.000000,-100.000000,-90.000000,top
"D5","LED","LED_0402_1005Metric",28.387069,-92.133536,-110.000000,top
"D6","LED","LED_0402_1005Metric",32.380977,-85.215884,-130.000000,top
"D7","LED","LED_0402_1005Metric",38.499999,-80.081415,-150.000000,top
"D8","LED","LED_0402_1005Metric",46.006091,-77.349421,-170.000000,top
"D9","LED","LED_0402_1005Metric",53.993908,-77.349421,170.000000,top
"D10","LED","LED_0402_1005Metric",61.500000,-80.081415,150.000000,top
"D11","LED","LED_0402_1005Metric",67.619022,-85.215884,130.000000,top
"D12","LED","LED_0402_1005Metric",71.612930,-92.133536,110.000000,top
"D13","LED","LED_0402_1005Metric",73.000000,-100.000000,90.000000,top
"D14","LED","LED_0402_1005Metric",71.612930,-107.866463,70.000000,top
"D15","LED","LED_0402_1005Metric",67.619022,-114.784115,50.000000,top
"D16","LED","LED_0402_1005Metric",61.500000,-119.918584,30.000000,top
"R1","47R","R_0402_1005Metric",38.500000,-114.784115,-135.000000,top
"R2","47R","R_0402_1005Metric",32.380977,-100.000000,180.000000,top
"R3","47R","R_0402_1005Metric",38.500000,-85.215884,135.000000,top
"R4","47R","R_0402_1005Metric",46.006092,-85.215884,135.000000,top
"R5","47R","R_0402_1005Metric",53.993908,-85.215884,45.000000,top
"R6","47R","R_0402_1005Metric",61.500000,-85.215884,45.000000,top
"R7","47R","R_0402_1005Metric",67.619023,-100.000000,0.000000,top
"R8","47R","R_0402_1005Metric",61.500000,-114.784115,-45.000000,top
"U1","WCH CH32V003F4U6","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",50.000000,-98.000000,-45.000000,top
